words,sentiment_coeff
new,-1.3548661756600078
cases,-1.2396226151854963
been,-1.7670023433653848
confirmed,-1.206400232227973
by,-1.8361952996409012
ministry,-1.6851293392515427
health,-1.2750043091011147
10,-1.0310619989082224
truck,-1.3707399659516382
drivers,-1.386480243367384
who,-1.5814377693591908
arrived,-1.2107877035347527
via,-1.3357412265501603
elegu,-1.2124388886249355
while,-2.0323344577262636
5,0.9786676315111803
among,-1.7101143730752733
samples,-1.2400023021209219
number,-1.3662760202517645
stands,-1.563594549929621
at,-1.5997491765986285
160,-1.2060628246891172
tonsemberera,-1.3136515531596866
yes,-2.1896054643884972
he,-1.4535976339074974
is,-1.6522155987037777
one,-1.993837554159015
most,-2.0842115882000125
celebrated,-4.137625654116875
journalists,-2.810136732596242
time,-2.018228284812579
bbc,1.9955493339561474
award,-1.652507837722089
winner,-3.4550102221719374
but,-1.751087005755083
still,-2.027109978865152
humble,-3.3057419477558514
enough,-2.1412227252805685
carry,-1.3443920130895508
video,1.0787605795998598
equipment,-2.334816768703119
with,-1.8038686772111279
rest,-2.057577294853039
us,-1.7651124415191317
covid19,-1.719247306662755
field,-1.343381787044306
lesson,-2.3652968866082915
records,-1.4178950644543111
tally,-1.3103373812026622
ugandanews,-1.2607519501673812
socialdistancing,-1.7101934619049028
staysafe,-1.344468842255156
eac,-1.1224747795896555
softpowernews,-1.4334192580060485
christine,2.7472134465943556
head,-1.5818779062833876
shares,-3.891964190993923
why,-1.9183744720492832
it,-1.6771065597055412
s,-1.3083563496590713
important,-2.199532102167376
did,-2.1198699080693704
you,-1.4826800143185845
continues,-2.6852964331244906
provide,-1.4748446184959403
much,-1.8675442034800842
needed,-2.4400907893493624
therapy,-8.016695303056887
patients,-1.3990716037898283
during,-1.39248987269152
please,-2.0899784877436574
donate,-1.4374894758128323
!,0.9846921398045847
mobile,-2.8230956360226758
money,-1.6419291122548123
social,-1.3557785717357058
distancing,-1.3516574247959527
a,-1.1447863448156035
myth,2.2428513997598527
anybody,-2.16407002931621
can,-1.8018414144873178
see,-2.0720511443816405
this,-1.713510844007839
now,-1.9545356262049551
days,-1.3653058642185747
on,-1.4600265383343334
road,-2.046734770230597
streets,-2.5728547041801626
local,-1.7329060933135352
market,-1.854322419142516
shops,-1.2758656290122241
very,-1.9814043143668874
dangerous,-2.5744179634246716
bbcnews,-4.045247325449818
from,-1.5979579045649541
264,-1.1660698999470145
145,-1.1982543716785978
where,-2.0724346799943176
luwero,-3.1490832732761076
hajji,3.3855050573832846
we,-1.7283063267743914
celebrate,-3.7868436337716944
football256,-4.172529829480969
update,-1.4011135664822176
though,-2.4707520840516777
accept,-2.4736996996729883
fact,-2.554734724428071
ve,-2.1288190619437772
due,-2.1520068972735698
coronavirus,-1.4678786592236008
pandemic,-1.6613350582943949
reassure,-3.7369588674152405
tourists,-3.4449124651750944
safety,-2.5484392439528705
terms,-2.732049644092457
hotel,-3.8028175396123673
driven,-4.906796708331286
airport,-1.5223773540431913
must,-1.8323815407258701
assured,-6.236115333689569
ensure,-1.7693372935055616
don,-1.7833461051090935
t,-1.1726318978265924
get,-1.894474641800877
infected,-1.4980910901462399
ow,-3.065622808742558
mayiga,-3.3244774961444903
recovery,-1.7559803987066256
tourism,-1.5540431119478648
amid,-1.877856585735773
ntvonthespot,-5.17831501299111
visitugandasoon,-3.8351862208250607
minofhealthug,-1.2799728231434655
janeruth,-1.2491114261149994
aceng,-1.2372359497274692
dianaatwine,-1.1849156192920647
jumuiya,-1.0309876902697694
nitauganda1,-1.3717141358944789
mowt,-1.2812817954871376
urauganda,-1.2877124656826735
guidelines,-1.6737769508885127
details,-1.3946323288072406
face,-1.5359831877128063
masks,-1.4240129315792753
staysafeug,-1.4603540839807687
photos,-1.117856533259453
pick,-1.9559949169629416
up,-1.8663932267818415
large,-2.2164086695765883
speaker,-2.7001059750164034
running,-3.2160285371264234
pre,-2.548775272449469
recorded,-1.3092220792916085
messages,-2.604382945843675
how,-1.9102308074149494
communities,-1.793330466747497
protect,-2.5486712532007534
themselves,-2.1755405065943356
through,-1.877915685398959
division,-2.795239113276735
hoima,-1.0824980452733652
municipality,-2.379664978953448
yesterday,-1.5944094006525018
investinugchildren,-4.5692574524758225
mps,-1.5370824227225044
return,-1.9971486121083102
parliamentary,-3.7908970429861877
commission,-2.4975616122141764
national,-1.5451933860555707
task,-1.4529551830427545
force,-1.4259464432344144
high,-1.9769134652492304
court,-1.7847874402279238
ruling,-3.8895939235989454
amount,-2.4321722425117014
returned,-1.6079541636043209
hit,-2.3164078044965954
3,-1.051777023608114
129,2.410271945676453
000,-1.0358539038614232
today,-1.5759380984011822
juliusmukunda,-1.366546973726322
smagara4,-1.3141440879575066
ugandadebtnet,-2.181154733593399
mofpedu,-1.492667604994462
mtvbaseafrica,1.1803433569316895
youtube,1.141826252738703
bebecoolug,0.9918331491261334
africaday,1.2360369738267132
youtubemusic,1.3056251104542764
idriselba,1.2044502774559394
unicef,1.1157655375062903
wfp,1.2110088748027907
total,-1.2650187179665793
all,-1.815703757715001
were,-1.7525234763092752
under,-2.257961193851048
quarantine,-1.863645500869659
test,-1.1107804668564585
ntvnews,-1.7129353569673116
what,-1.7974063651291896
difference,-2.4478276569862603
month,-2.0342037589209068
makes,-2.3306641713973137
without,-1.9916592229038492
end,-1.9506891796986185
may,-1.3671177966111512
won,-2.083608181617811
long,-1.8665231201233698
till,-2.0519653938750664
catch,-3.4104883662157714
again,-2.1807101420904833
nbsliveat9,-2.8812357600540284
owe,-7.903624430044935
each,-1.419216186789027
other,-1.8753288282675231
better,-1.9212748067624934
when,-1.9176362191878582
confirms,-1.6571458267501689
says,-1.9620879702362977
me,-1.1955216999156009
would,-2.000401768690634
here,-1.8785022078986522
talking,-2.206907861578404
my,-1.2398273285497465
dog,-3.7590251970581283
photo,-1.1383598270043955
staff,-2.448157386040503
delivering,-4.0363818165068865
information,-2.3114413691480933
education,-1.6137917132278847
communication,-2.0874378022794473
materials,-2.0059209393816135
acting,-3.018595533000199
logistics,-1.936191875758125
stores,-1.9020778912518939
year,-1.7939117386438839
sitting,-2.508337863300812
outside,-2.1588892723671296
there,-2.0500184147825116
was,-1.6593651386632196
illegal,-3.165416871705733
think,-1.9586270336900429
stop,-2.153696346774547
elections,-1.9711516979281722
millions,-1.5244373583422859
vote,-1.9299994166550631
attend,-2.6399409840326302
political,-1.3670063927321976
rallies,-6.568043687709324
katikkiroonthespot,-4.496585728546347
change,-2.2256929165827253
opposition,-1.9255190099614967
frontliners,-4.016298048379641
none,-2.4023359820345944
them,-1.8777729014822149
discussing,-2.6126832090457506
substance,-2.6585438719888095
m7,1.0121691228958505
failed,-2.1722449479396073
manage,-2.6675650448231423
blaming,-4.072210400803856
tea,-1.455984467449636
taking,-2.484276734299089
skills,-2.2592822384877818
indeed,-2.53871415688306
least,-1.7483782758107067
region,-1.9225276358305736
amp,-1.8079983557768478
no,-1.331821911343531
deaths,-1.2517916814914427
happens,-2.944834276678781
justice,-1.2045706749380876
particularly,-3.9005253166671676
join,-1.8924014070214201
next,-1.8925571585715941
week,-2.1253141139124354
27,-1.7613284103969464
nickopiyo,-1.7316507946642317
for,-1.9038026048395023
conversation,-1.9666733980395523
accurate,-2.4105092210476347
info,-1.8252260070603212
about,-1.9571620251488184
naye,-1.3258682502285266
am,-1.7208476515017805
going,-1.939951686626904
create,-2.1608657318499107
small,-2.0572097082018312
ka,-1.3470313847038535
hall,-6.4223807953187775
home,-1.6372859034057299
invite,-2.505660688560199
privately,-4.101759916311993
watch,-2.294777994217891
movies,1.8550650459021296
tell,-1.7716831874326515
any,-2.176550795083694
keepingmy10k,-1.541932940797132
mujoogabasajjamwe,-1.5021873928113418
despite,-2.1901161859824025
industry,-2.036144707548298
hard,-2.1594218352210377
best,-1.66288402334649
pin,1.4457921366805804
places,-1.8804994541459743
visit,-2.438301068237981
after,-1.7867549778702125
lockdown,-1.5522634680573413
right,-2.227998763917014
lake,1.2927472356761676
gorilla,2.890744562001023
lodge,-2.0312076028048143
kisoro,-4.300503582984527
trees,-3.393338962393645
concern,-2.234826059356968
citizen,-2.679862927738605
healthy,-2.386250118802016
environment,-2.6480112064316104
too,-2.005902585189707
contribution,-2.1510909776868683
opmuganda,-1.2567720367695538
jacoboulanyah,-2.4245040709515786
min,1.7154225525370828
moh,-1.7141097534315626
bringing,-1.4071268564962556
66,1.3807562420174582
recoveries,-1.1278252157747217
0,1.0030680946566957
entered,-1.8369032137453263
2,-1.0800856083136905
tested,-1.2539780466783546
thursday,-1.7558228963243887
nkumbatimes,-1.3620593237933027
evelyn,-2.5866688308755643
nakayi,2.4457010133725556
welcome,-4.184158227538698
parte,2.2041544989287654
loading,-7.580349293781294
anything,-2.2363331074359745
case,-1.726738093104134
educ,-1.8029587580438617
sportsug,-1.9201362761555447
permanent,-3.1133926017525746
secretary,-1.2516406773606286
government,-1.7606970996658207
response,-1.6428051635159528
educational,-4.057867079105366
institutions,-1.472944120977877
detailed,-4.755315754035133
preparedness,-2.9813952697523556
sector,-1.6035722030971933
issued,-1.9379449432517974
before,-2.13494239190967
fighter,-3.9060204098111067
sc,2.380652728962439
these,-1.9775635541482057
iconic,3.0233286845996523
stella,-1.420511584260115
nyanzi,-1.5071066795796484
those,-1.9214213746482234
stranded,-1.761055674455668
food,-1.7981500529289034
godbertumushabe,-2.2690328752798488
nurses,-2.0535741545892163
soroti,-1.0519084165545878
also,-1.8613174115202464
protesting,-4.822469178996694
clarity,-2.883485456422759
funds,-2.15930799653688
really,-2.035306401866937
doing,-2.15392180542671
source,-2.2825122742735466
unknown,-1.1364856809537967
alot,-2.7498574164174654
sense,-2.341579705885165
run,-2.440715504117835
out,-1.8643444066998889
your,-1.4611441700914023
house,-2.3647570618794314
26th,-1.5278793752392388
read,-2.365202726923972
well,-2.2202873883047713
19ke,-2.200651812668178
governance,-1.8580267462879787
freestellanyanzi,-4.567086627550129
news,-1.7265842687970756
21,-1.2027509191769845
turned,-1.8464062807995263
away,-1.8384171863850969
rising,-2.195013988655385
infections,-1.4644787828288595
directive,-1.5418023229227982
adding,-2.3562581725880065
foreign,-1.5067342887550847
d,1.1092508835381292
8,-1.0845574489063226
ugandan,-1.8070642916411093
positive,-1.2582670709194796
an,-1.8178908160052423
growth,-2.051781561101403
testing,-1.4576699162921674
stayhomesavelives,-1.3463792761349491
chairman,-2.019996172288282
norbertmao,-1.486431442130672
lord,-2.3453943373451343
mayor,-1.8790229096384121
aware,-2.782042229862738
document,-1.4366873751799196
critical,-2.7727453016320704
quality,-2.0289401587121336
difficult,-2.524744314301587
times,-2.355657145828168
like,-1.8188304159883295
simonkaggwanjal,-2.0112701450913617
stopstigma,-2.9938656733896396
thank,-1.8211156119165144
u,-1.3101211658921281
great,-2.183591686121454
work,-1.8004330200487042
done,-2.266236911017424
handling,-2.1300787385320192
deducted,-2.6505476760899667
sent,-1.9512183592959575
back,-1.6866252450919612
their,-1.8906551303423886
countries,-1.501684963806048
updating,-5.037356798773168
public,-1.453525890133937
issues,-1.5198001941839798
core,-2.9717714584223063
management,-2.2526286506933526
distance,-1.6158410836495496
use,-1.8729797615519548
whatsapp,-1.3915443320288927
chatbot,-3.1112790584599765
simply,-2.37534830500005
add,-2.2067832397705525
plus,0.9643563084675263
256,-1.9685349883433243
32,-1.1677690152666267
3200660,-1.8632861693024334
contacts,-1.2178611866548188
type,-1.7408886027628685
word,-2.645168856685043
e,-0.9823797641987084
g,-1.2429660534936702
hi,-1.5184034449273607
started,-2.4540794704391202
corona,-1.0965109992612445
stayalert,-1.4843872965583886
stayhome,-1.382686320962096
waiting,-2.1046065783626045
govuganda,-1.672897849861877
defend,-2.188872686507111
infant,-5.567989109451043
landlord,-2.8323283660633436
might,-2.2901197634569166
trouble,-2.498606508816968
seriously,-2.6101190937748977
fronting,-7.110544994549782
proactive,-5.123655672890906
strategy,-1.54945968284567
kindly,-2.326859160326911
engage,-1.4466605288102636
hehe,-2.5111276103949884
plans,-2.327428019993663
2020,-1.0263832548370084
oba,-1.3607589197861303
trying,-2.1035197948151514
survive,-1.5466837293195417
2021,-2.4313269901797945
05,1.110262548533883
day,-1.6584981897831639
63,-1.174984801649166
40,-1.0591407509130752
effective,-2.3018087472499436
20,-1.027240304780845
revised,-2.7373488258472243
ugandans,-1.7730527334018764
albertcamus,-2.8052398170367443
theplague,-3.400640621178255
struggles,-7.55198201389482
secure,-3.017379794305806
window,-5.053808993233122
way,-1.9640691427892474
gov,-2.030287475823679
presenting,-6.266815580295729
post,-1.6221348148161459
measures,-1.7877005755871487
private,-1.4699118323667073
led,-2.15752709509597
manner,-6.901064657741478
lets,-1.5945809758118703
brace,-6.413292787315089
ourselves,-2.4119337404696553
borrow,-2.004092316286403
cash,-2.2490043416376557
eat,-2.0598583869079476
let,-1.5293834509318691
talk,-2.1726401730133205
socialprotection,-3.0501699869943124
refugees,-1.7669572479563327
amidst,-2.667648508537502
happening,-2.512271309768031
hour,-2.27520454588271
half,-1.3440811194128308
11,1.0877377404682704
00hrs,2.3892545091266095
upfsp,1.2064054829421995
intrefrights,1.2115919253701166
refugeelawproj,2.0967247414396932
hello,-2.5782778770446626
honaniteevelyn,-2.8294355164500007
review,-2.4567211563161804
specs,-4.651227887026677
non,-1.236998643520293
medical,-2.018471476666286
colour,-3.6038988952870024
colours,-6.550162772241298
guess,-2.6229024142637862
shall,-1.7497305045327145
go,-1.935268602070517
putting,-2.3481490366348794
good,-2.0266392513573193
points,-1.4962516116408944
defeating,-5.991622262865434
leaders,-2.2842832424847814
give,-1.946420085925625
credit,-2.43789143880138
fighting,-1.8690586004625833
against,-1.6576738669979834
just,-1.7600656231165297
reported,-1.629223545626612
smell,-6.63727053098923
making,-2.2224452127640792
changes,-3.03716159167833
announced,-1.7102285809918458
whispereyeupdates,-3.112902806226659
some,-2.0235344131822584
forgotten,-2.8250165301257972
continue,-1.730176126698467
place,-1.541030626589848
front,-1.6314113958001548
liners,-4.120031086982707
god,-1.2480810319508138
pray,-1.6334995370594052
blessings,-4.775443510186076
fight,-1.611275459486786
lockdownug,-2.3540442385001015
giving,-2.080119097653858
fake,-1.7986421335455065
handed,-1.3872160528619977
origin,-1.3596289458510922
galaxyfmnews,-1.6849603185257755
abandoned,-7.577453067529574
upl,-3.904293106345122
season,-2.7178179717841653
viperssc,-3.2364356726911865
kccafc,-2.991581379873504
highest,-1.4747547979112394
goals,-1.7771929131423445
scored,-3.6759056682084483
different,-1.8673604919698255
players,-2.2679077822305147
whereas,-3.6733729985989174
since,-1.9480893572244298
presidential,-1.5088536437774318
sick,-2.05674201252567
en,1.108276883912171
tired,-2.574480626666958
addition,-2.012406520004455
everything,-2.2890898428453386
normal,-1.54524670946722
soon,-2.7513901336136444
business,-2.1796811915385246
once,-2.1574359463105384
point,-2.2926612039675436
entry,-1.361856358040331
tosemberera,-3.1588203335019185
buganda,-4.060748695771561
kingdom,-3.1779263368549113
cpmayiga,-3.0816190538681405
advised,-2.3223387306810896
kabaka,1.1880136951612048
muwenda,2.0452728777013465
institute,-2.3805281969602112
integrate,-4.167748938306495
ict,-1.8953219311376346
every,-2.253664552305205
level,-2.7030470827446114
life,-1.963626134621649
loses,-4.000651759630732
3bn,-1.228437256717175
remittances,-1.2376447192284188
experts,-2.161147506116116
chimpreportsnews,-1.2113201707424515
featured,-1.1590468536649232
mtwauganda,-2.909284741743185
masks4all,-1.7821264201968174
urge,-2.897172063249455
transparency,-7.814055313605041
value,-2.0715874193869293
spending,-3.3668987146403344
increase,-2.2797349714789497
confidence,-4.749404156390879
accu,-1.696272354477326
rama,1.5529683500997562
order,-2.4550369338996525
economy,-1.626198213362985
come,-2.0174861211660127
situation,-1.8701835397432685
strong,-2.580423236109847
resilient,-3.7914348729958527
invest,-1.5232556413266782
1,-0.9866845311210236
trillion,-1.5540738871943456
development,-2.135052543307187
bank,-1.8655999589237127
udb,-2.220828576054188
manufacturing,-1.7717275729627842
companies,-1.6087735052546512
smes,-1.982561658495769
access,-1.7573490626748636
cheap,-2.7213731386411384
jobs,-2.060938406665036
21st,-1.8241752578623416
march,-1.579922706663546
registered,-1.4613215994536592
its,-2.3483149567481285
first,-2.146166295440146
become,-2.3414634369327323
victim,-3.8528044284376524
l,1.2332894683919053
having,-2.191583070708148
surely,-2.703200143182861
dedicate,-5.217772008294701
prayers,-2.846858201909166
nation,-1.371863009110626
washyourhands,-1.832121400296203
genoeric1,-4.166901977689743
mu,1.130738318439115
n,1.1155517410867484
abaana,-2.7164026508418884
whole,-2.0899186416130617
particular,-2.5354733842663304
distribution,-1.7332818446655218
politicised,-5.481368822377026
distribute,-1.7502653386136897
relief,-2.11403197257302
items,-1.7468228325009292
re,-2.0412068469783473
fdcofficial1,-2.235154589409437
people,-1.5276412476667498
power,-2.177023359130572
dpsecretariat1,-3.78873387112647
nrmonline,-1.5935146513405778
trigger,-4.0075612251192
choice,-2.900118598594866
starts,-2.7251369011909956
govt,-1.9287599317480282
plan,-1.8422054142603208
oo,1.4573709780368869
which,-2.0094675682268877
haven,-2.172839808137122
heard,-2.55457907378518
wait,-1.7388510341252894
store,-2.2888125854776784
real,-2.201154441119283
easing,-1.7810742925678933
opening,-1.620555166151095
determined,-7.905984189685592
secret,-2.576939749457726
young,-1.1518948702173177
greatly,-3.1221042379276653
affected,-2.001023088594493
further,-2.4604787314101655
increased,-2.253746462837875
need,-1.8610796850659825
srhr,-2.346407246593027
services,-1.3346679943691275
reduced,-2.4242244095943937
stay,-1.8262456661892732
tuned,-2.452313224568677
feature,-4.781953608210784
story,-1.474690464444706
coming,-1.727286958722219
partnership,-1.954444632735582
kasuganda,-2.026986564518275
working,-1.918304480838863
ubctvuganda,-1.1843498554511351
ll,-1.135903822335669
host,-1.9282474881218663
webinars,-2.2623910524247046
facilitated,-3.0490500901447457
professionals,-2.8578077799413752
answer,-1.3597243029721082
demystify,-3.170606206919382
myths,-3.0669055984518994
around,-2.158431881362666
hosted,-2.2392783230872397
gcicuganda,-1.5886555387082744
covidwebinarsug,-2.8077552986185
focus,-2.0857266616136214
science,-2.5854207654501367
behind,-2.9591258491960017
23,1.136456006578243
guys,-2.0649910915569802
extending,-2.2677389913382915
lock,-1.7727512949465807
down,-1.8122641921796177
into,-1.9767640179257648
july,-2.6270187378767083
yet,-2.026402439468263
clear,-2.6512396406488685
concerning,-4.5352670174621466
move,-1.7224104549185817
deduct,-1.566227170680011
gets,-2.754799707839095
bicycle,-2.3020670836598414
riders,-2.4562788739473493
looking,-2.373211390646038
recognition,-4.059514262948315
janetmuseveni,-2.30564139289826
relation,-1.469624610784315
children,-1.7019037226408693
adopt,-3.286582602946792
objective,-7.819724650719303
answering,-3.30692930320288
open,-1.3849827163602462
book,-2.7770336317494344
craft,-3.739350174355891
knowledge,-2.376216558803397
economics,-4.01230939170206
etc,-1.3861517481356203
museveni,-1.3600017745641542
own,-1.9893730264871148
means,-1.7459636269112113
instead,-2.0787172564880985
using,-2.2228545624173286
existent,-2.350398281355547
agencies,-3.354054208967166
direct,-1.7064175001888982
translation,-4.706863865474616
ejoogo,-3.2547658239182855
prominent,-3.8070205145848726
businessman,-3.485660761561091
kabale,-1.1864682272429101
cow,-1.9822643606195522
rice,-2.343266598903997
exhibited,-4.903675371833974
maryokurut,-3.4691636306334526
pastor,-2.7301453401242393
senyonga,-2.7782394421200998
fellow,-2.464978848429731
men,-2.0828233594692045
prophet,1.1089451488661433
elvis,-2.96332250775778
yiga,-5.505475862587861
false,-3.3029618528689837
rate,-2.3609782553275
aid,-2.323516695371379
nga,-1.1619563179707249
ate,-1.392133815416279
dailymonitor,-1.2735061977877393
newvisionwire,-1.3053765330829075
bbcafrica,-2.7717922180191104
madam,-2.6802489480874203
rebeccakadagaug,-1.4103623612232716
sure,-1.6123021546008727
kccaug,-2.776035146629501
call,-2.509126737062305
honorable,-1.8128404834758602
sorting,-4.745936916879926
banange,-1.9315184419607647
beans,-1.819512724153408
clean,-3.0538616706638835
save,-2.6307779536574936
date,-1.1807198727119244
27th,-4.126211635612854
examine,-6.053241830055297
impact,-1.7952067460832106
outbreak,-1.9798484218301111
affects,-1.8311410756607187
lives,-2.41470256649433
victims,-2.176331943713759
survivors,-3.9774121098815995
northern,-1.114859871880104
observerug,-1.9570193305800325
healthcare,-2.017685439866968
team,-1.9531125617409504
phenomenal,-3.6106020177349447
considered,-2.3189673347916324
final,-1.3091765649472955
kale,-1.915713142736195
then,-1.856406595816791
accessed,-4.958466570859721
specifications,-4.224220660670335
listed,-3.6604304892159814
below,-2.390866818331087
homes,-2.3905926948570633
praying,-2.9221249797358944
together,-2.070365327191012
advantages,-5.3378319438501824
cannot,-1.8096878538789638
insist,-6.337611723468015
danger,-1.9164980540712566
religious,-2.174210318284336
radio,-1.5240074000331176
stations,-1.6678860117737293
tvs,-2.8974619563056048
preaching,-6.824832547390933
m7address,-1.7053749743050404
saturday,-1.5903298993616826
23rd,-3.034479532622161
moict,-1.408330693672431
webinar,-1.3748948912760286
theme,-1.8751078842214393
live,-1.5098998324896515
facebook,-1.6959611639655623
zoom,-1.691902857226792
00pm,-1.249173480915701
30pm,-1.3570954296114595
follow,-1.0852321950633994
advice,-3.0058173220964735
tumutungire,-2.6876740860903734
ritastyles20,-2.9760440424599333
ronnie,3.7700295212174684
olanya,3.140157406165974
kakyeann,3.84392041691287
derrick,3.05291405922836
kyatuka,3.012658615090037
ussiassociation,-1.9709998409306884
disregard,-2.1672129382675345
media,-2.251047784246686
reopening,-2.0305679587791077
schools,-1.5619506353352985
fakenews,-3.1276450741165824
big,-1.6399585233428875
challenge,-2.175108865482089
interface,-5.671681051506569
hold,-1.9258822496993457
meetings,-2.849033917313436
online,-2.033538848621624
love,-1.7820326093203158
being,-2.060164393285634
many,-2.0873601340089687
blessed,-1.9267542507121669
deliveries,-4.965052904946385
bought,-3.103778066721189
him,-1.777636450865674
smile,-2.8554391609389835
cholera,-5.6549705342920875
vaccination,-1.8591949521011317
suspended,-1.751823510076047
concerns,-1.9911114399941334
collaborating,-3.4877921510497445
effort,-1.992653509214079
gap,-5.060975963270468
effect,-2.2364824472692684
article,-3.399859915959227
employers,-1.676228791655675
ready,-1.6131740120969524
sanitize,-3.4573196601536176
reopen,-1.4341792080591604
1st,-2.134431907934223
tune,-1.814601262718169
00,0.9658089886945168
helped,-1.5855406860232137
floating,-5.959729841346963
island,-5.472832273251541
came,-2.3022221408158225
wonderful,-3.84226292901526
japan,2.124544440629477
facilitate,-2.8644801295984297
broadcast,-2.0659500353575377
aim,-3.1334603737108058
allow,-1.6198558492657158
citizens,-2.1848377645775674
interact,-4.4333078001130595
context,-5.890422200316129
tybisa,-1.8630912041041265
free,-1.552542090551228
delivery,-1.6541111457446496
areas,-1.8677848872299734
najjera,-4.0300823632948175
kira,2.720007080549464
kiwatule,-4.217710468223366
btn,-2.946865953375758
7am,-3.3697135101939484
6,-1.0783578089109693
venue,-2.657111079369835
takeaways,-1.3871637125887901
kampala,-2.1255713964269862
three,-1.5097249413533813
mp,-1.8356956647678315
warns,-3.2213904346121995
westnile,-3.250723375834006
prevention,-2.066587623591302
given,-2.111888764628037
results,-1.5989570791089434
starting,-1.7179451055462664
ones,-2.487823379388629
only,-1.570016658447195
79,-1.1605492886909607
negative,-1.2623117292473105
12,1.0090844735836082
broadcaster,-4.79319502117956
broadcasting,-3.3359085944722078
police,-2.345560018119161
spox,-2.7593801844344084
fredenanga1,-3.945320919815179
lira,-1.0589475477580848
sensitizing,-2.5477534590601336
enforcement,-2.08530750216925
directives,-2.221560915879544
voice,-2.81294878600297
fm,1.1231291089484465
policeug,-1.8433375760653592
vol,2.8756075949932587
absolutely,-3.3798025288908984
announce,-2.6255016426611557
stimulus,-1.660797637353604
package,-2.3727972466377105
pass,-2.4151922382524544
repeat,-2.713548682434401
unmask,-5.558313932509605
claims,-3.270419734996668
doesn,-2.033196799443808
make,-1.6702782383476185
gaps,-5.117343809960962
sounds,-2.9675295044373464
gives,-2.5355705650270832
confusing,-2.57247745433436
speech,-1.9027632671283372
w/,-2.870725754157944
introduced,-2.5687806685373245
latest,-1.7779287776606234
reports,-2.9446210121433105
interacted,-1.5067236992970139
check,-2.700188563718769
833,-2.7854292275256873
prisoners,-3.3491456612610713
part,-1.7339851895179972
prisons,1.5871863561361117
combat,-1.144536181242463
spread,-1.9701022430559165
although,-1.8868527888202287
involved,-2.308496659891594
process,-2.75565263960988
laspnetuganda,-1.6153381665838558
works,-1.8816966279771983
project,-2.1944885131793725
cargo,-1.2591583628911571
china,-1.3976136502580643
civil,-4.818000331458827
engineering,-2.17534034319395
construction,-1.3295780067392629
co,-2.358885875126105
thanks,-2.3284100557477103
job,-2.258479365875745
forgetting,-3.4840370704923926
safe,-2.2350486345119265
directions,-3.858737182991777
hand,-2.2187487205598315
effects,-2.3112210597067833
unique,1.5676980364864899
opportunities,-1.722602142662068
available,-1.927534663188398
disasters,-7.127064202106342
double,-2.689803308438141
wish,-2.5016740723564928
reiterate,-6.063687703820569
regular,-5.259546323236644
effectively,-4.037014311475557
contingency,-4.717570732997405
